,Unnamed: 0,img,difficulty_score,split,root_output_dir,img_file,meta_file,xml_file,xml_path,labels,stimulus,set_size,has_label,target_condition
22,22,2008_000051,4.487978,val,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000051.jpg,none,Annotations/2008_000051.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000051.xml,"[8, 8, 4, 4, 4, 14, 14]",VSD,7,False,absent
23,23,2008_000052,3.266562,val,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000052.jpg,none,Annotations/2008_000052.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000052.xml,"[6, 14, 14]",VSD,3,False,absent
24,24,2008_000053,3.201633,train,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000053.jpg,none,Annotations/2008_000053.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000053.xml,[11],VSD,1,True,present
25,25,2008_000054,3.347214,train,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000054.jpg,none,Annotations/2008_000054.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000054.xml,"[2, 2]",VSD,2,False,absent
26,26,2008_000056,3.082774,train,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000056.jpg,none,Annotations/2008_000056.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000056.xml,[7],VSD,1,False,absent
27,27,2008_000059,2.929823,val,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000059.jpg,none,Annotations/2008_000059.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000059.xml,"[14, 11]",VSD,2,True,present
28,28,2008_000060,2.9235130000000003,test,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000060.jpg,none,Annotations/2008_000060.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000060.xml,[7],VSD,1,False,absent
29,29,2008_000062,3.09722,val,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000062.jpg,none,Annotations/2008_000062.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000062.xml,[7],VSD,1,False,absent
30,30,2008_000064,3.315321,test,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000064.jpg,none,Annotations/2008_000064.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000064.xml,[0],VSD,1,False,absent
31,31,2008_000066,2.9268650000000003,val,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000066.jpg,none,Annotations/2008_000066.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000066.xml,[11],VSD,1,True,present
32,32,2008_000067,3.697055,test,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000067.jpg,none,Annotations/2008_000067.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000067.xml,"[8, 14]",VSD,2,False,absent
33,33,2008_000070,3.627315,test,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000070.jpg,none,Annotations/2008_000070.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000070.xml,"[19, 8, 8]",VSD,3,False,absent
34,34,2008_000073,3.955826,train,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000073.jpg,none,Annotations/2008_000073.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000073.xml,[9],VSD,1,False,absent
35,35,2008_000074,3.153829,val,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000074.jpg,none,Annotations/2008_000074.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000074.xml,[6],VSD,1,False,absent
36,36,2008_000075,3.250914,test,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000075.jpg,none,Annotations/2008_000075.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000075.xml,[5],VSD,1,False,absent
37,37,2008_000076,3.217056,test,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000076.jpg,none,Annotations/2008_000076.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000076.xml,[12],VSD,1,False,absent
38,38,2008_000078,3.132351,train,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000078.jpg,none,Annotations/2008_000078.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000078.xml,[11],VSD,1,True,present
39,39,2008_000080,2.99971,val,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000080.jpg,none,Annotations/2008_000080.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000080.xml,[11],VSD,1,True,present
40,40,2008_000082,3.277338,train,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000082.jpg,none,Annotations/2008_000082.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000082.xml,"[14, 14, 3, 13]",VSD,4,False,absent
41,41,2008_000084,3.552179,train,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000084.jpg,none,Annotations/2008_000084.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000084.xml,[16],VSD,1,False,absent
42,42,2008_000085,3.323431,val,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000085.jpg,none,Annotations/2008_000085.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000085.xml,[6],VSD,1,False,absent
43,43,2008_000089,3.054991,train,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000089.jpg,none,Annotations/2008_000089.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000089.xml,[8],VSD,1,False,absent
44,44,2008_000090,3.840636,test,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000090.jpg,none,Annotations/2008_000090.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000090.xml,"[14, 14, 14, 14, 14, 1, 1]",VSD,7,False,absent
45,45,2008_000093,3.542081,val,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000093.jpg,none,Annotations/2008_000093.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000093.xml,"[19, 8, 8, 17, 17]",VSD,5,False,absent
46,46,2008_000095,4.680653,test,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000095.jpg,none,Annotations/2008_000095.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000095.xml,[2],VSD,1,False,absent
47,47,2008_000096,2.903946,train,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000096.jpg,none,Annotations/2008_000096.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000096.xml,"[14, 7]",VSD,2,False,absent
48,48,2008_000097,3.002711,train,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000097.jpg,none,Annotations/2008_000097.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000097.xml,[2],VSD,1,False,absent
49,49,2008_000099,3.112706,test,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000099.jpg,none,Annotations/2008_000099.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000099.xml,"[11, 16]",VSD,2,True,present
50,50,2008_000103,3.782968,train,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000103.jpg,none,Annotations/2008_000103.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000103.xml,[2],VSD,1,False,absent
51,51,2008_000105,3.155659,train,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000105.jpg,none,Annotations/2008_000105.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000105.xml,[6],VSD,1,False,absent
52,52,2008_000107,4.813127,val,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000107.jpg,none,Annotations/2008_000107.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000107.xml,[8],VSD,1,False,absent
53,53,2008_000109,3.875606,val,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000109.jpg,none,Annotations/2008_000109.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000109.xml,"[13, 6, 14]",VSD,3,False,absent
54,54,2008_000112,3.310184,train,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000112.jpg,none,Annotations/2008_000112.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000112.xml,"[7, 4]",VSD,2,False,absent
55,55,2008_000115,3.25,test,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000115.jpg,none,Annotations/2008_000115.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000115.xml,"[7, 8]",VSD,2,False,absent
56,56,2008_000116,2.966157,val,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000116.jpg,none,Annotations/2008_000116.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000116.xml,[7],VSD,1,False,absent
57,57,2008_000119,3.1365830000000003,val,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000119.jpg,none,Annotations/2008_000119.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000119.xml,"[12, 14]",VSD,2,False,absent
58,58,2008_000120,3.253889,train,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000120.jpg,none,Annotations/2008_000120.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000120.xml,[3],VSD,1,False,absent
59,59,2008_000123,2.803032,val,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000123.jpg,none,Annotations/2008_000123.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000123.xml,[2],VSD,1,False,absent
60,60,2008_000128,3.369416,train,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000128.jpg,none,Annotations/2008_000128.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000128.xml,"[17, 14, 14]",VSD,3,False,absent
61,61,2008_000131,2.953147,test,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000131.jpg,none,Annotations/2008_000131.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000131.xml,[2],VSD,1,False,absent
62,62,2008_000132,4.126507,val,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000132.jpg,none,Annotations/2008_000132.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000132.xml,"[14, 14, 5]",VSD,3,False,absent
63,63,2008_000133,3.863682,val,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000133.jpg,none,Annotations/2008_000133.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000133.xml,"[6, 1]",VSD,2,False,absent
64,64,2008_000134,2.9,val,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000134.jpg,none,Annotations/2008_000134.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000134.xml,"[2, 2]",VSD,2,False,absent
65,65,2008_000138,4.040928,train,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000138.jpg,none,Annotations/2008_000138.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000138.xml,"[11, 14, 14, 14, 14, 14]",VSD,6,True,present
66,66,2008_000140,4.1246540000000005,val,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000140.jpg,none,Annotations/2008_000140.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000140.xml,"[3, 3]",VSD,2,False,absent
67,67,2008_000141,3.494857,test,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000141.jpg,none,Annotations/2008_000141.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000141.xml,"[12, 14]",VSD,2,False,absent
68,68,2008_000142,3.249093,val,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000142.jpg,none,Annotations/2008_000142.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000142.xml,"[12, 14, 14]",VSD,3,False,absent
69,69,2008_000143,3.1062,test,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000143.jpg,none,Annotations/2008_000143.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000143.xml,"[6, 6, 6, 13, 14]",VSD,5,False,absent
70,70,2008_000144,3.1696560000000003,test,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000144.jpg,none,Annotations/2008_000144.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000144.xml,"[13, 14]",VSD,2,False,absent
71,71,2008_000145,3.622925,val,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000145.jpg,none,Annotations/2008_000145.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000145.xml,"[19, 4]",VSD,2,False,absent
72,72,2008_000148,3.112597,train,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000148.jpg,none,Annotations/2008_000148.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000148.xml,[3],VSD,1,False,absent
73,73,2008_000149,3.844715,train,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000149.jpg,none,Annotations/2008_000149.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000149.xml,"[17, 8]",VSD,2,False,absent
74,74,2008_000151,3.71906,train,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000151.jpg,none,Annotations/2008_000151.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000151.xml,[0],VSD,1,False,absent
75,75,2008_000154,3.840708,test,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000154.jpg,none,Annotations/2008_000154.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000154.xml,[4],VSD,1,False,absent
76,76,2008_000162,2.929049,test,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000162.jpg,none,Annotations/2008_000162.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000162.xml,[11],VSD,1,True,present
77,77,2008_000163,3.094605,val,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000163.jpg,none,Annotations/2008_000163.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000163.xml,[6],VSD,1,False,absent
78,78,2008_000174,3.691401,val,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000174.jpg,none,Annotations/2008_000174.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000174.xml,"[6, 6, 6, 6, 6, 6]",VSD,6,False,absent
79,79,2008_000176,3.936263,train,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000176.jpg,none,Annotations/2008_000176.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000176.xml,"[6, 14]",VSD,2,False,absent
80,80,2008_000177,3.485005,train,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000177.jpg,none,Annotations/2008_000177.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000177.xml,[12],VSD,1,False,absent
81,81,2008_000181,3.083957,val,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000181.jpg,none,Annotations/2008_000181.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000181.xml,[7],VSD,1,False,absent
82,82,2008_000182,3.381015,val,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000182.jpg,none,Annotations/2008_000182.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000182.xml,[7],VSD,1,False,absent
83,83,2008_000183,3.3,train,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000183.jpg,none,Annotations/2008_000183.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000183.xml,[11],VSD,1,True,present
84,84,2008_000185,3.087909,train,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000185.jpg,none,Annotations/2008_000185.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000185.xml,"[14, 6]",VSD,2,False,absent
85,85,2008_000187,3.4336480000000003,train,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000187.jpg,none,Annotations/2008_000187.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000187.xml,[6],VSD,1,False,absent
86,86,2008_000188,3.5203580000000003,train,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000188.jpg,none,Annotations/2008_000188.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000188.xml,[15],VSD,1,False,absent
87,87,2008_000189,3.177797,test,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000189.jpg,none,Annotations/2008_000189.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000189.xml,"[14, 6]",VSD,2,False,absent
88,88,2008_000190,4.126257,train,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000190.jpg,none,Annotations/2008_000190.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000190.xml,[18],VSD,1,False,absent
89,89,2008_000191,4.2,train,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000191.jpg,none,Annotations/2008_000191.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000191.xml,"[3, 14, 14, 1]",VSD,4,False,absent
90,90,2008_000192,3.058894,train,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000192.jpg,none,Annotations/2008_000192.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000192.xml,[2],VSD,1,False,absent
91,91,2008_000193,3.409243,test,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000193.jpg,none,Annotations/2008_000193.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000193.xml,"[6, 14]",VSD,2,False,absent
92,92,2008_000194,4.584605000000001,test,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000194.jpg,none,Annotations/2008_000194.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000194.xml,"[1, 14]",VSD,2,False,absent
93,93,2008_000195,3.576278,train,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000195.jpg,none,Annotations/2008_000195.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000195.xml,"[14, 14, 14, 3, 3]",VSD,5,False,absent
94,94,2008_000196,6.023773,train,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000196.jpg,none,Annotations/2008_000196.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000196.xml,"[1, 15, 4, 4, 1, 7]",VSD,6,False,absent
95,95,2008_000197,2.988696,test,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000197.jpg,none,Annotations/2008_000197.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000197.xml,[0],VSD,1,False,absent
96,96,2008_000199,3.880532,train,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000199.jpg,none,Annotations/2008_000199.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000199.xml,"[14, 6]",VSD,2,False,absent
97,97,2008_000202,5.438214,val,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000202.jpg,none,Annotations/2008_000202.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000202.xml,"[14, 14, 14, 14, 19, 4, 8]",VSD,7,False,absent
